Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
shoulder_link,0.00189283967211911,-0.00149022104022392,0.0209651260942884,0,0,0,0.0772984767866564,2.74184679471754E-05,-7.12325596084157E-08,1.19608410119039E-07,2.07506136746851E-05,-2.5629423337733E-08,3.03168099471715E-05,0,0,0,0,0,0,package://limb_sub.SLDASM/meshes/shoulder_link.STL,0.545098039215686,0.615686274509804,0.858823529411765,1,0,0,0,0,0,0,package://limb_sub.SLDASM/meshes/shoulder_link.STL,,shoulder-1;STS3215_03a v1.step-2/ac2.step-1;STS3215_03a v1.step-2/main.step-1;STS3215_03a v1.step-2/ac1.step-1;sts3215_coaxial_stradded_bracket_hfe-1,origin_coords,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
femur_link,0.0323249229136636,-9.62316571824495E-07,0.0265797029719004,0,0,0,0.0561441430721167,7.25316608559317E-06,-2.79260011877617E-09,-1.19212807601372E-07,4.40862958479968E-05,3.84318283091856E-10,4.29206771962485E-05,0,0,0,0,0,0,package://limb_sub.SLDASM/meshes/femur_link.STL,0.545098039215686,0.615686274509804,0.858823529411765,1,0,0,0,0,0,0,package://limb_sub.SLDASM/meshes/femur_link.STL,,femur-1;STS3215_03a v1.step-1/main.step-1;STS3215_03a v1.step-1/ac1.step-1;STS3215_03a v1.step-1/ac2.step-1,hfe_coords,hfe_axis,hfe_joint,revolute,0.0298000000000001,-0.0124999999999999,0.0214999999999999,-1.5707963267949,0,-1.5707963267949,shoulder_link,0,0,1,0,0,0,0,,,,,,,,
tibia_link,0.0288498822493463,-2.12587483422455E-07,-1.69689207372981E-07,0,0,0,0.0122277569224425,2.38144486897778E-07,4.86891982377057E-11,2.95573498479285E-11,8.84429600390576E-06,-1.13395317943241E-11,8.85815391336193E-06,0,0,0,0,0,0,package://limb_sub.SLDASM/meshes/tibia_link.STL,0.545098039215686,0.615686274509804,0.858823529411765,1,0,0,0,0,0,0,package://limb_sub.SLDASM/meshes/tibia_link.STL,,tibia_link-1,kfe_coords,kfe_axis,kfe_joint,revolute,0.0960572429044665,0,0.00999999999999993,-3.14159265358979,0,0,femur_link,0,0,-1,0,0,0,0,,,,,,,,
